"orderId","token","count","lang","pos","case","comment","position","suffix_lang","new_count"
2951,"рӧбитӧтсьӧ",1,"rus",,,"check","?","kpv",1
2952,"рӧбитӧтсьы",2,"rus",,,"check","?","kpv",2
2953,"рӧбитысьяс",4,"rus",,,"kpv","stem","kpv",2
3537,"силаыс",3,"rus",,,"ambivalent","stem","kpv",3
1444,"кассянаӧн-а",1,"rus",,,"check","stem","kpv",1
2303,"озерояс-тыяс",1,"rus",,,"compound","stem","kpv",1
4023,"тридцативосьмиквартирнэй",1,"rus",,,"good","stem","kpv",1
4292,"четырёхмесячнэй",1,"rus",,,"good","stem","kpv",1
358,"весь",10,"rus",,"nom","how about this?","stem","kpv",11
378,"весьсэ",1,"rus",,,"how about this?","stem","kpv",1
966,"герасимович",2,"rus","noun","nom","name","stem","kpv",2
1198,"ефросиння",2,"rus",,,"name","stem","kpv",2
1413,"кальмозере",1,"rus",,,"name","stem","kpv",1
1414,"кальмоозеро",1,"rus","noun","nom","name","stem","kpv",1
1687,"ксения",1,"rus","noun","nom","name","stem","kpv",1
1689,"ксюшалэн",1,"rus",,,"name","stem","kpv",1
1690,"ксюшка",1,"rus","noun","nom","name","stem","kpv",1
1979,"люся",3,"rus","noun","nom","name","stem","kpv",3
1980,"люсяас",1,"rus",,,"name","stem","kpv",1
1981,"люсяыс",1,"rus",,,"name","stem","kpv",1
2003,"максим",3,"rus","noun","nom","name","stem","kpv",3
2005,"максимовичлэн",1,"rus",,,"name","stem","kpv",1
2006,"максимовна",3,"rus","noun","nom","name","stem","kpv",3
2008,"максимыс",1,"rus",,,"name","stem","kpv",1
2011,"малоземельскей",3,"rus",,,"name","stem","kpv",3
2069,"мексика",1,"rus","noun","nom","name","stem","kpv",1
2070,"мексикаас",1,"rus",,,"name","stem","kpv",1
2071,"мексикаын",1,"rus",,,"name","stem","kpv",1
2218,"нась",1,"rus","noun","nom","name","stem","kpv",1
2318,"ӧлексеевка",1,"rus","noun","nom","name","stem","kpv",1
2319,"ӧлексеевкаас",1,"rus",,,"name","stem","kpv",1
2320,"ӧлексей",3,"rus","noun","nom","name","stem","kpv",3
2406,"офонасий",1,"rus","noun","nom","name","stem","kpv",1
2407,"офонасийыс",1,"rus",,,"name","stem","kpv",1
3047,"северодвинскас",1,"rus",,,"name","stem","kpv",1
3048,"северодвинскей",1,"rus",,,"name","stem","kpv",1
3049,"северодвинскысь",1,"rus",,,"name","stem","kpv",1
3144,"семён",9,"rus","noun","nom","name","stem","kpv",8
3145,"семёнович",6,"rus","noun","nom","name","stem","kpv",4
3146,"семёновичлэн",1,"rus",,,"name","stem","kpv",1
3147,"семёновна",3,"rus","noun","nom","name","stem","kpv",4
3148,"семёновналэн",1,"rus",,,"name","stem","kpv",1
3149,"семёновнаыскӧд",1,"rus",,,"name","stem","kpv",1
3150,"семёныс",1,"rus",,,"name","stem","kpv",1
3196,"семяшкин",4,"rus","noun","nom","name","stem","kpv",2
3197,"семяшкина",3,"rus","noun","nom","name","stem","kpv",1
3198,"семяшкинлэн",1,"rus",,,"name","stem","kpv",1
3199,"семяшкинъяс",1,"rus",,,"name","stem","kpv",1
3200,"семяшкиныс",2,"rus",,,"name","stem","kpv",1
3201,"семяшкиныслысь",1,"rus",,,"name","stem","kpv",1
3231,"серафимовнаыс",1,"rus",,,"name","stem","kpv",1
3233,"сербияысь",1,"rus",,,"name","stem","kpv",1
3234,"сергеевна",6,"rus","noun","nom","name","stem","kpv",4
3235,"сергей",9,"rus","noun","nom","name","stem","kpv",5
3497,"сизяб",1,"rus","noun","nom","name","stem","kpv",1
3498,"сизябск",2,"rus","noun","nom","name","stem","kpv",4
3499,"сизябске",1,"rus",,,"name","stem","kpv",1
3500,"сизябсксьыс",1,"rus",,,"name","stem","kpv",1
3501,"сизябскын",3,"rus",,,"name","stem","kpv",2
